# Restart 2026-05-28T17:57:25+10:00 — clean parser
ts,g0_util,g1_util,g2_util,g3_util,g0_mem_mb,g1_mem_mb,g2_mem_mb,g3_mem_mb,g0_pwr_w,g1_pwr_w,g2_pwr_w,g3_pwr_w,done_flag
2026-05-28T17:57:25+10:00,0,0,0,0,4,4,4,4,78.15,78.30,75.82,78.70,
2026-05-28T17:57:44+10:00,0,0,0,0,4,4,4,4,78.13,78.26,75.78,78.71,
2026-05-28T17:58:03+10:00,0,0,0,0,3018,3018,3018,3018,122.58,121.67,117.78,121.01,
2026-05-28T17:58:23+10:00,0,0,0,0,3018,3018,3018,3018,122.80,121.74,117.69,121.62,
2026-05-28T17:58:42+10:00,25,4,0,0,8459,8459,8459,8459,124.01,123.02,119.06,123.01,
2026-05-28T17:59:02+10:00,0,0,0,0,48277,48277,48277,48277,123.47,122.07,117.98,121.73,
2026-05-28T17:59:21+10:00,36,100,37,100,46081,46081,46081,46081,353.72,423.34,342.74,415.11,
2026-05-28T17:59:40+10:00,100,100,100,99,46083,46083,46083,46083,295.85,295.55,274.74,277.88,
2026-05-28T18:00:00+10:00,100,100,100,100,46743,46743,46763,46763,334.96,328.33,335.58,338.84,
2026-05-28T18:00:19+10:00,16,20,3,3,20123,20123,20123,20123,145.79,144.57,138.61,141.72,
2026-05-28T18:00:39+10:00,100,100,94,98,73637,73637,73637,73637,447.21,446.53,460.62,472.69,
2026-05-28T18:00:58+10:00,0,0,0,0,47949,47949,47949,47951,140.30,136.02,131.24,137.68,
2026-05-28T18:01:17+10:00,0,0,0,0,124483,119123,119283,124343,148.22,144.67,138.96,144.35,
2026-05-28T18:01:36+10:00,0,0,0,0,89775,89795,89795,89797,129.50,127.79,121.69,128.90,
2026-05-28T18:01:55+10:00,0,0,0,0,57991,58011,57991,57953,126.93,124.73,118.86,126.28,
2026-05-28T18:02:15+10:00,0,100,0,100,88353,84565,83733,84625,322.13,309.23,302.72,300.91,
2026-05-28T18:02:34+10:00,47,27,18,50,58873,58811,58871,58813,198.20,190.71,183.65,191.88,
2026-05-28T18:02:53+10:00,88,95,96,95,75053,75333,74973,75153,283.61,245.60,260.30,261.07,
2026-05-28T18:03:12+10:00,0,0,13,0,58911,58671,58631,58631,191.71,188.68,177.63,199.66,
2026-05-28T18:03:31+10:00,2,2,0,0,122239,122179,122259,122141,146.81,141.17,136.08,142.48,
2026-05-28T18:03:50+10:00,10,1,23,17,54071,54071,54291,54291,151.32,151.63,145.26,148.67,
2026-05-28T18:04:09+10:00,0,18,20,0,87415,85895,83995,87335,369.46,378.72,374.17,381.95,
2026-05-28T18:04:28+10:00,43,21,21,60,59171,59071,58711,58991,205.45,211.60,197.56,207.68,
2026-05-28T18:04:47+10:00,0,40,40,12,84775,84835,84695,85675,197.14,198.91,186.88,195.01,
2026-05-28T18:05:06+10:00,0,18,18,18,54351,54231,54191,54151,162.59,165.17,152.42,158.44,
2026-05-28T18:05:25+10:00,1,3,3,1,110199,117579,110159,110579,271.30,258.79,247.04,246.72,
